exercise_id,exercise_name,body_part,equipment,primary_muscle,secondary_muscles,movement_pattern,tracking_supported,instructions,gif_url
71,band reverse fly,shoulders,band,delts,"upper back, trapezius",other,no,attach the band to a stationary object at chest height. stand with your feet shoulder-width apart and hold the band with both hands in front of you. keep your arms straight and lift them out to the sides until they are parallel to the ground. squeeze your shoulder blades together at the top of the movement. slowly lower your arms back to the starting position. repeat for the desired number of repetitions.,https://v2.exercisedb.io/image/1Tsu9UbqOeYcwr
72,band reverse wrist curl,lower arms,band,forearms,forearms,other,no,"sit on a bench or chair with your feet flat on the ground. hold the band with an overhand grip, palms facing down, and wrap it around your fingers. rest your forearms on your thighs, with your wrists hanging off the edge. slowly curl your wrists upward, squeezing your forearms. pause for a moment at the top, then slowly lower your wrists back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/sP6B0BzyAwnsyC
73,band seated hip internal rotation,upper legs,band,glutes,"hamstrings, quadriceps",knee_flexion,yes,"sit on a chair or bench with your back straight and feet flat on the ground. place a resistance band around your thighs, just above your knees. keep your knees bent at a 90-degree angle and your feet shoulder-width apart. engage your glutes and slowly rotate your knees outward, pushing against the resistance of the band. pause for a moment at the end of the movement, then slowly return to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/lC5PrlCnred180
74,band seated twist,waist,band,abs,obliques,other,no,"sit on the ground with your legs extended in front of you and your back straight. wrap the band around your waist and hold the ends with both hands. engage your abs and slowly twist your torso to one side, keeping your back straight and your feet on the ground. pause for a moment at the end of the twist, then slowly return to the starting position. repeat the twist to the other side. continue alternating sides for the desired number of repetitions.",https://v2.exercisedb.io/image/xXUUFZnjEZpSto
75,band shoulder press,shoulders,band,delts,"triceps, upper back",other,no,"stand with your feet shoulder-width apart and place the band under your feet. hold the band with your palms facing forward and raise your hands to shoulder height, elbows bent. press the band overhead, fully extending your arms. pause for a moment at the top, then slowly lower the band back to shoulder height. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/t9gbH8wqasEmb0
76,band shrug,back,band,traps,shoulders,other,no,"stand with your feet shoulder-width apart and place the band under your feet, holding the ends with your hands. keep your arms straight and relaxed, and let the band hang in front of your thighs. engage your traps by shrugging your shoulders upward, lifting the band as high as possible. hold the contraction for a moment, then slowly lower your shoulders back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/IQa5iTUWR-3zHW
77,band side triceps extension,upper arms,band,triceps,shoulders,elbow_flexion,yes,"stand with your feet shoulder-width apart and hold the band with both hands, palms facing down. extend your arms straight out to the sides, keeping them parallel to the ground. slowly bend your elbows and bring your hands towards your shoulders, keeping your upper arms still. pause for a moment, then slowly extend your arms back out to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/gQFCfkr8GVtTPk
78,band single leg calf raise,lower legs,band,calves,"ankles, feet",other,no,"stand with your feet hip-width apart and place the band around the ball of your left foot. hold onto a stable object for balance if needed. slowly raise your left heel off the ground, lifting your body weight onto the ball of your foot. pause for a moment at the top, then slowly lower your left heel back down to the starting position. repeat for the desired number of repetitions, then switch to the right leg.",https://v2.exercisedb.io/image/tgDhZRp45npWII
79,band single leg reverse calf raise,lower legs,band,calves,"hamstrings, glutes",other,no,"stand with your feet hip-width apart and place the band around the ball of your foot. hold onto a stable object for balance. slowly raise your heel off the ground, lifting your body weight onto the ball of your foot. pause for a moment at the top, then slowly lower your heel back down to the starting position. repeat for the desired number of repetitions, then switch to the other leg.",https://v2.exercisedb.io/image/r1buBLtWssfNHS
80,band single leg split squat,upper legs,band,quads,"glutes, hamstrings",other,no,"stand with your feet hip-width apart and place a resistance band around your ankles. take a big step forward with your right foot and a smaller step back with your left foot. bend your knees and lower your body until your right thigh is parallel to the ground, keeping your left knee slightly above the ground. push through your right heel to return to the starting position. repeat on the other side.",https://v2.exercisedb.io/image/Jze8NwBbLSDIZZ
81,band squat,upper legs,band,glutes,"quadriceps, hamstrings, calves",knee_flexion,yes,"stand with your feet shoulder-width apart, with the band placed just above your knees. keeping your chest up and core engaged, push your hips back and bend your knees to lower into a squat position. make sure your knees are tracking over your toes and your weight is in your heels. pause for a moment at the bottom, then push through your heels to return to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/q4FL9Trsd5OkqN
